Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Inter,91,38,28,7,3,89,35,54
2,Milan,79,38,24,7,7,74,41,33
3,Atalanta,78,38,23,9,6,90,47,43
4,Juventus,78,38,23,9,6,77,38,39
5,Napoli,77,38,24,5,9,86,41,45
6,Lazio,68,38,21,5,12,61,55,6
7,Roma,63,38,18,9,11,68,55,13
8,Sassuolo,62,38,17,11,10,64,56,8
9,Sampdoria,52,38,15,7,16,52,54,-2
10,Verona,43,38,10,13,15,43,48,-5
11,Genoa,42,38,10,12,16,47,58,-11
12,Bologna,41,38,10,11,17,51,65,-14
13,Fiorentina,40,38,9,13,16,47,59,-12
14,Udinese,40,38,10,10,18,42,58,-16
15,Spezia,39,38,9,12,17,52,72,-20
16,Cagliari,37,38,9,10,19,43,59,-16
17,Torino,37,38,7,16,15,50,69,-19
18,Benevento,33,38,7,12,19,40,75,-35
19,Crotone,23,38,6,5,27,45,92,-47
20,Parma,20,38,3,11,24,39,83,-44
