Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Feyenoord,82,34,25,7,2,81,30,51
2,PSV Eindhoven,75,34,23,6,5,89,40,49
3,Ajax,69,34,20,9,5,86,38,48
4,AZ Alkmaar,67,34,20,7,7,68,35,33
5,Twente,64,34,18,10,6,66,27,39
6,Sparta Rotterdam,59,34,17,8,9,60,37,23
7,Utrecht,54,34,15,9,10,55,50,5
8,Heerenveen,46,34,12,10,12,44,50,-6
9,Waalwijk,41,34,11,8,15,50,64,-14
10,Vitesse,40,34,10,10,14,45,50,-5
11,Go Ahead Eagles,40,34,10,10,14,46,56,-10
12,Nijmegen,39,34,8,15,11,42,45,-3
13,For Sittard,36,34,10,6,18,39,62,-23
14,Volendam,36,34,10,6,18,42,71,-29
15,Excelsior,32,34,9,5,20,32,71,-39
16,FC Emmen,28,34,6,10,18,33,65,-32
17,Cambuur,19,34,5,4,25,26,69,-43
18,Groningen,18,34,4,6,24,31,75,-44
