Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,St. Gilloise,77,34,24,5,5,78,27,51
2,Club Brugge,72,34,21,9,4,72,37,35
3,Anderlecht,64,34,18,10,6,72,36,36
4,Antwerp,63,34,19,6,9,55,38,17
5,Gent,62,34,18,8,8,56,30,26
6,Charleroi,54,34,15,9,10,55,46,9
7,Mechelen,52,34,15,7,12,57,61,-4
8,Genk,51,34,15,6,13,66,47,19
9,St Truiden,51,34,15,6,13,42,40,2
10,Cercle Brugge,45,34,12,9,13,49,46,3
11,Oud-Heverlee Leuven,41,34,10,11,13,47,58,-11
12,Kortrijk,37,34,9,10,15,43,48,-5
13,Oostende,37,34,10,7,17,34,61,-27
14,Standard,36,34,9,9,16,32,51,-19
15,Eupen,32,34,8,8,18,37,61,-24
16,Waregem,32,34,8,8,18,42,69,-27
17,Seraing,28,34,8,4,22,30,68,-38
18,Beerschot VA,16,34,4,4,26,33,76,-43
