Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Ajax,83,34,26,5,3,98,19,79
2,PSV Eindhoven,81,34,26,3,5,86,42,44
3,Feyenoord,71,34,22,5,7,76,34,42
4,Twente,68,34,20,8,6,55,37,18
5,AZ Alkmaar,61,34,18,7,9,64,44,20
6,Vitesse,51,34,15,6,13,42,51,-9
7,Utrecht,47,34,12,11,11,51,46,5
8,Heerenveen,41,34,11,8,15,37,50,-13
9,Cambuur,39,34,11,6,17,53,70,-17
10,Waalwijk,38,34,9,11,14,40,51,-11
11,Nijmegen,38,34,10,8,16,38,52,-14
12,Groningen,36,34,9,9,16,41,55,-14
13,Go Ahead Eagles,36,34,10,6,18,37,51,-14
14,Sparta Rotterdam,35,34,8,11,15,30,48,-18
15,For Sittard,35,34,10,5,19,36,67,-31
16,Heracles,34,34,9,7,18,33,49,-16
17,Willem II,33,34,9,6,19,32,57,-25
18,Zwolle,27,34,7,6,21,26,52,-26
