Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Sp Lisbon,85,34,26,7,1,65,20,45
2,Porto,80,34,24,8,2,74,29,45
3,Benfica,76,34,23,7,4,69,27,42
4,Sp Braga,64,34,19,7,8,53,33,20
5,Pacos Ferreira,53,34,15,8,11,40,41,-1
6,Santa Clara,46,34,13,7,14,44,36,8
7,Moreirense,43,34,10,13,11,37,43,-6
8,Guimaraes,43,34,12,7,15,37,44,-7
9,Famalicao,40,34,10,10,14,40,48,-8
10,Belenenses,40,34,9,13,12,25,35,-10
11,Gil Vicente,39,34,11,6,17,33,42,-9
12,Boavista,36,34,8,12,14,39,49,-10
13,Tondela,36,34,10,6,18,36,57,-21
14,Portimonense,35,34,9,8,17,34,41,-7
15,Maritimo,35,34,10,5,19,27,47,-20
16,Rio Ave,34,34,7,13,14,25,40,-15
17,Farense,31,34,7,10,17,31,48,-17
18,Nacional,25,34,6,7,21,30,59,-29
