Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Inter,94,38,29,7,2,89,22,67
2,Milan,75,38,22,9,7,76,49,27
3,Juventus,71,38,19,14,5,54,31,23
4,Atalanta,69,38,21,6,11,72,42,30
5,Bologna,68,38,18,14,6,54,32,22
6,Roma,63,38,18,9,11,65,46,19
7,Lazio,61,38,18,7,13,49,39,10
8,Fiorentina,60,38,17,9,12,61,46,15
9,Napoli,53,38,13,14,11,55,48,7
10,Torino,53,38,13,14,11,36,36,0
11,Genoa,49,38,12,13,13,45,45,0
12,Monza,45,38,11,12,15,39,51,-12
13,Verona,38,38,9,11,18,38,51,-13
14,Lecce,38,38,8,14,16,32,54,-22
15,Udinese,37,38,6,19,13,37,53,-16
16,Empoli,36,38,9,9,20,29,54,-25
17,Cagliari,36,38,8,12,18,42,68,-26
18,Frosinone,35,38,8,11,19,44,69,-25
19,Sassuolo,30,38,7,9,22,43,75,-32
20,Salernitana,17,38,2,11,25,32,81,-49
