Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Leverkusen,90,34,28,6,0,89,24,65
2,Stuttgart,73,34,23,4,7,78,39,39
3,Bayern Munich,72,34,23,3,8,94,45,49
4,RB Leipzig,65,34,19,8,7,77,39,38
5,Dortmund,63,34,18,9,7,68,43,25
6,Ein Frankfurt,47,34,11,14,9,51,50,1
7,Hoffenheim,46,34,13,7,14,66,66,0
8,Heidenheim,42,34,10,12,12,50,55,-5
9,Werder Bremen,42,34,11,9,14,48,54,-6
10,Freiburg,42,34,11,9,14,45,58,-13
11,Augsburg,39,34,10,9,15,50,60,-10
12,Wolfsburg,37,34,10,7,17,41,56,-15
13,Mainz,35,34,7,14,13,39,51,-12
14,M'gladbach,34,34,7,13,14,56,67,-11
15,Union Berlin,33,34,9,6,19,33,58,-25
16,Bochum,33,34,7,12,15,42,74,-32
17,FC Koln,27,34,5,12,17,28,60,-32
18,Darmstadt,17,34,3,8,23,30,86,-56
