Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Frosinone,80,38,24,8,6,63,26,37
2,Genoa,74,38,21,11,6,53,28,25
3,Bari,65,38,17,14,7,58,37,21
4,Parma,61,38,17,10,11,48,39,9
5,Cagliari,60,38,15,15,8,50,34,16
6,Sudtirol,58,38,14,16,8,38,34,4
7,Reggina,55,38,17,4,17,49,45,4
8,Venezia,49,38,13,10,15,51,50,1
9,Palermo,49,38,11,16,11,48,49,-1
10,Modena,48,38,13,9,16,47,53,-6
11,Pisa,47,38,11,14,13,48,42,6
12,Como,47,38,10,17,11,47,48,-1
13,Ascoli,47,38,12,11,15,40,47,-7
14,Cittadella,43,38,9,16,13,34,45,-11
15,Ternana,43,38,11,10,17,37,52,-15
16,Brescia,40,38,9,13,16,36,57,-21
17,Cosenza,40,38,9,13,16,30,53,-23
18,Perugia,39,38,10,9,19,40,52,-12
19,Spal,38,38,8,14,16,41,51,-10
20,Benevento,35,38,7,14,17,33,49,-16
